timestamp,ee_pos_x,ee_pos_y,ee_pos_z,ee_orient_x,ee_orient_y,ee_orient_z,ee_orient_w,tag_pos_x,tag_pos_y,tag_pos_z,tag_orient_x,tag_orient_y,tag_orient_z,tag_orient_w
1729900294.3784862,0.19405307077207978,-0.29594374131618656,0.268584613010954,0.028524660353000244,-0.6592401595304066,0.7216431757926512,0.20933199145368778,0.25809573482687054,-0.6081966576763392,0.09430036761623556,-0.565253386110148,0.40275648786845614,0.5666540248211743,0.4440484625858335
1729900307.0832386,0.1940534734522554,-0.29594308396504315,0.26858521663408874,0.028527226947993128,-0.6592390714733509,0.7216434790514296,0.20933402281559746,0.25809573482687054,-0.6081966576763392,0.09430036761623556,-0.565253386110148,0.40275648786845614,0.5666540248211743,0.4440484625858335
1729900505.1706643,0.1940553613799105,-0.2959415338713691,0.26858603389858393,0.0285342008864875,-0.6592366057132177,0.7216446566528062,0.20933677792480368,0.2885431833139147,-0.6105849437828524,0.14412376972930527,-0.5525557705880311,0.40285148173455765,0.568349406960786,0.45757158528634745
1729900505.2618368,0.1940553613799105,-0.2959415338713691,0.26858603389858393,0.0285342008864875,-0.6592366057132177,0.7216446566528062,0.20933677792480368,0.25854318331391474,-0.6105849437828524,0.09412376972930526,-0.5525557705880311,0.40285148173455765,0.568349406960786,0.45757158528634745
1729900505.361582,0.1940553613799105,-0.2959415338713691,0.26858603389858393,0.0285342008864875,-0.6592366057132177,0.7216446566528062,0.20933677792480368,0.25854318331391474,-0.6105849437828524,0.09412376972930526,-0.5525557705880311,0.40285148173455765,0.568349406960786,0.45757158528634745
1729900505.4618497,0.1940553613799105,-0.2959415338713691,0.26858603389858393,0.0285342008864875,-0.6592366057132177,0.7216446566528062,0.20933677792480368,0.25854318331391474,-0.6105849437828524,0.09412376972930526,-0.5525557705880311,0.40285148173455765,0.568349406960786,0.45757158528634745
1729900505.561676,0.19405971620272044,-0.2959467401009162,0.26858559482189653,0.02852762409157709,-0.6592409602504566,0.7216439655079774,0.2093263433915261,0.25854318331391474,-0.6105849437828524,0.09412376972930526,-0.5525557705880311,0.40285148173455765,0.568349406960786,0.45757158528634745
1729900505.661824,0.19464508884183998,-0.29755621672686006,0.26791707831402223,0.027671942786356592,-0.6597542063422183,0.7213023788997001,0.20900126552203466,0.25854318331391474,-0.6105849437828524,0.09412376972930526,-0.5525557705880311,0.40285148173455765,0.568349406960786,0.45757158528634745
1729900505.761643,0.1963931319305977,-0.3027149438753538,0.26595324344466953,0.02797341140852055,-0.6598589473448996,0.7212708133169325,0.20873924336401486,0.25797251711141217,-0.6092325907688958,0.09419322973992289,-0.5655896107602167,0.3940272208296437,0.5724176163787832,0.4440596963299032
1729900505.8613896,0.19850745052885965,-0.309222425168051,0.263324317814661,0.028262106511253254,-0.6598506861783332,0.72131477206917,0.2085745067843412,0.25797251711141217,-0.6092325907688958,0.09419322973992289,-0.5655896107602167,0.3940272208296437,0.5724176163787832,0.4440596963299032
1729900505.961833,0.20085856742030406,-0.3168126237156895,0.26017941148511525,0.02814232964785379,-0.659937601610088,0.7212952973962848,0.20838297727290842,0.25854318331391474,-0.6105849437828524,0.09412376972930526,-0.5525557705880311,0.40285148173455765,0.568349406960786,0.45757158528634745
1729900506.0620215,0.20311868670558403,-0.32412902799731097,0.25721375476161984,0.028464110045313625,-0.6599795607925156,0.7212965396033417,0.20820200703089145,0.25797251711141217,-0.6092325907688958,0.09419322973992289,-0.5655896107602167,0.3940272208296437,0.5724176163787832,0.4440596963299032
1729900506.162824,0.20616328517573485,-0.33364395722025425,0.25319252767541234,0.02865522144736157,-0.6601599564089455,0.7211662753812864,0.20805507321530312,0.25797251711141217,-0.6092325907688958,0.09419322973992289,-0.5655896107602167,0.3940272208296437,0.5724176163787832,0.4440596963299032
1729900506.2619994,0.20970378992014657,-0.34507249836448806,0.24860468688954637,0.02904954448420378,-0.660207760617849,0.721193937165284,0.20775259753192435,0.25797251711141217,-0.6092325907688958,0.09419322973992289,-0.5655896107602167,0.3940272208296437,0.5724176163787832,0.4440596963299032
1729900506.3616545,0.21364547491090077,-0.3580428824070882,0.24315489907938037,0.029359843440039262,-0.6604603927721729,0.7208731399371969,0.20801919452177928,0.25797251711141217,-0.6092325907688958,0.09419322973992289,-0.5655896107602167,0.3940272208296437,0.5724176163787832,0.4440596963299032
1729900506.4617434,0.21744828084738888,-0.3714010244550631,0.23764893577604237,0.02918529343176855,-0.6605366124281135,0.7208042463132667,0.20804047872002615,0.25797251711141217,-0.6092325907688958,0.09419322973992289,-0.5655896107602167,0.3940272208296437,0.5724176163787832,0.4440596963299032
1729900506.5620782,0.22156450512182385,-0.38475131067556867,0.23219098105617159,0.02952230144976088,-0.6606093445957074,0.7206280047920296,0.2083722780491645,0.25797251711141217,-0.6092325907688958,0.09419322973992289,-0.5655896107602167,0.3940272208296437,0.5724176163787832,0.4440596963299032
1729900506.6620836,0.22542701422601857,-0.39815310199203435,0.22647465858573784,0.029420926119552698,-0.6609046603792591,0.7203423329311165,0.2084379101377691,0.25797251711141217,-0.6092325907688958,0.09419322973992289,-0.5655896107602167,0.3940272208296437,0.5724176163787832,0.4440596963299032
1729900506.7617817,0.22949484880336615,-0.4115174946340255,0.22101420632006297,0.029996318044175168,-0.6609233556875868,0.7202649515871684,0.20856399096101583,0.25797251711141217,-0.6092325907688958,0.09419322973992289,-0.5655896107602167,0.3940272208296437,0.5724176163787832,0.4440596963299032
